Model_Type,Hidden_Nodes,Lambda_Value,Activation,Fold_ID,Seed,Iteration,Fitness
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,60,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,61,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,62,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,63,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,64,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,65,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,66,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,67,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,68,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,69,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,70,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,71,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,72,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,73,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,74,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,75,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,76,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,77,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,78,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,79,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,80,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,81,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,82,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,83,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,84,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,85,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,86,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,87,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,88,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,89,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,90,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,91,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,92,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,93,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,94,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,95,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,96,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,97,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,98,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,99,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,103,100,0.6971027316375284
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,1,0.5623026097508628
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,2,0.5623026097508628
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,3,0.5698963516408735
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,4,0.5698963516408735
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,5,0.5746162969684552
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,6,0.5851145403367315
ABC_CVEnsemble_RELMCD,34,0.125,sigmoid,0,104,7,0.5868698427460004
